Date,DARDL.IS
2020-09-08,12.300000190734863
2020-09-09,13.1899995803833
2020-09-10,12.260000228881836
2020-09-11,12.5
2020-09-14,12.489999771118164
2020-09-15,12.199999809265137
2020-09-16,12.149999618530273
2020-09-17,12.350000381469727
2020-09-18,12.199999809265137
2020-09-21,12.350000381469727
2020-09-22,13.800000190734863
2020-09-23,15.180000305175781
2020-09-24,16.690000534057617
2020-09-25,18.350000381469727
2020-09-28,20.18000030517578
2020-09-29,22.18000030517578
2020-09-30,24.3799991607666
2020-10-01,23.0
2020-10-02,24.5
2020-10-05,26.84000015258789
2020-10-06,28.5
2020-10-07,26.8799991607666
2020-10-08,25.0
2020-10-09,25.0
2020-10-12,27.040000915527344
