Date,CEMTS.IS
2020-10-02,14.819999694824219
2020-10-05,14.619999885559082
2020-10-06,14.399999618530273
2020-10-07,14.140000343322754
2020-10-08,14.34000015258789
2020-10-09,14.270000457763672
2020-10-12,14.319999694824219
2020-10-13,14.100000381469727
2020-10-14,14.3100004196167
2020-10-15,14.130000114440918
2020-10-16,14.25
2020-10-19,14.869999885559082
2020-10-20,14.680000305175781
2020-10-21,14.520000457763672
2020-10-22,14.25
2020-10-23,14.720000267028809
2020-10-26,13.359999656677246
2020-10-27,14.640000343322754
2020-10-28,13.949999809265137
2020-10-30,13.399999618530273
2020-11-02,13.40999984741211
2020-11-03,13.34000015258789
2020-11-04,13.789999961853027
2020-11-05,14.329999923706055
2020-11-06,14.59000015258789
2020-11-09,14.960000038146973
2020-11-10,15.420000076293945
