Date,ARENA.IS
2020-09-25,11.583999633789062
2020-09-28,11.571200370788574
2020-09-29,11.456000328063965
2020-09-30,11.468799591064453
2020-10-01,11.232000350952148
2020-10-02,11.507200241088867
2020-10-05,12.620800018310547
2020-10-06,12.249600410461426
2020-10-07,12.02560043334961
2020-10-08,12.255999565124512
2020-10-09,12.646400451660156
2020-10-12,12.518400192260742
2020-10-13,12.128000259399414
2020-10-14,12.089599609375
2020-10-15,11.776000022888184
2020-10-16,11.846400260925293
2020-10-19,11.84000015258789
2020-10-20,11.744000434875488
2020-10-21,11.60319995880127
2020-10-22,12.07040023803711
2020-10-23,11.846400260925293
2020-10-26,11.718400001525879
2020-10-27,11.590399742126465
2020-10-28,11.526399612426758
2020-10-30,11.456000328063965
2020-11-02,11.699199676513672
